Rank,Title,Genre,Year,Metascore,Mean Lead Roles Exp.,Revenue^{1/3},Votes^{1/3},ln(Runtime),ln(Director Exp),Rating^2,Action,Adventure,Sci-Fi,Thriller,Comedy,Drama,Romance,Crime
19,Lion,"Biography,Drama",2016,0.5553885357215921,-0.2923262663717175,0.03729177538911215,-0.2725188177902129,0.26347617245303195,-1.7023857306291776,1.5986596219935423,0,0,0,0,0,1,0,0
20,Arrival,"Drama,Mystery,Sci-Fi",2016,1.2633873239926507,-0.2673725849303341,0.5554552907707878,0.9695908352724355,0.15378735760971712,0.5554397592934142,1.4586355244449267,0,0,1,0,0,1,0,0
21,Gold,"Adventure,Drama,Thriller",2016,-0.6246094447301723,-0.10517365556133966,-0.9675544461396114,-1.348412935374948,0.37132139026787947,-0.7299932198989435,-0.2033896334147279,0,1,0,1,0,1,0,0
22,Manchester by the Sea,Drama,2016,2.148385809331474,-0.36718731069586863,-0.01788949320020286,-0.03251420709113057,1.2214567040527415,-0.7299932198989435,1.3203508566795241,0,0,0,0,0,1,0,0
24,Trolls,"Animation,Adventure,Comedy",2016,-0.21161015157205476,-0.6666314879924732,0.9519397282928495,-0.9683774019339895,-1.3336000152441327,-1.7023857306291776,-0.4329943647987933,0,1,0,0,1,0,0,0
25,Independence Day: Resurgence,"Action,Adventure,Sci-Fi",2016,-1.627607728114172,-0.0677431333992641,0.5780822538156718,-0.0787920071336966,0.37132139026787947,1.380025600349853,-1.6645106513133257,1,1,1,0,0,0,0,0
29,Bad Moms,Comedy,2016,0.024389444518298106,-0.5418630807855545,0.6599683442348787,-0.6062021678256905,-0.7985702969717113,-1.1335725758698958,-0.7643557385007963,0,0,0,0,1,0,0,0
30,Assassin's Creed,"Action,Adventure,Drama",2016,-1.3916081320238192,-0.09269681484064772,0.07641852953436652,-0.1872696510617486,0.09823169096841443,-0.7299932198989435,-1.0800622441538863,1,1,0,0,0,1,0,0
31,Why Him?,Comedy,2016,-1.2146084349560544,0.30656208822149156,0.1474686170020928,-0.8291251996354991,-0.1289297094574005,-0.41695275143682026,-0.6556413770500084,0,0,0,0,1,0,0,0
32,Nocturnal Animals,"Drama,Thriller",2016,0.4373887376764157,0.8118741374095116,-0.8180403396120607,-0.08959998898952545,0.15378735760971712,-1.1335725758698958,0.784606483450038,0,0,0,1,0,1,0,0
33,X-Men: Apocalypse,"Action,Adventure,Sci-Fi",2016,-0.44760974766240763,-0.0677431333992641,0.9625837545302751,0.7127504628756395,1.541213077507476,0.6891471559868676,0.2766929867519538,1,1,1,0,0,0,0,0
34,Deadpool,"Action,Adventure,Comedy",2016,0.3193889396312392,-0.34847204961483086,1.9482641790656803,1.8172619540654826,-0.3047390471200417,-1.7023857306291776,1.4586355244449267,1,1,0,0,1,0,0,0
35,Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",2016,-0.6246094447301723,-0.14260417772341524,-0.3725468364069351,-0.8559991587625512,-0.3644291465161256,0.9235016269696846,-1.3801138817580632,1,0,1,0,0,0,0,0
36,Captain America: Civil War,"Action,Adventure,Sci-Fi",2016,0.9093879298571214,-0.7165388508752409,2.1073299025758883,1.2135065944059547,1.6735196084491075,-0.41695275143682026,1.3203508566795241,1,1,1,0,0,0,0,0
37,Interstellar,"Adventure,Drama,Sci-Fi",2014,0.8503880308345332,0.10069421633007594,1.1605227847964803,2.673770257973447,2.568423463136698,0.9235016269696846,2.3248715564848093,0,1,1,0,0,1,0,0
38,Doctor Strange,"Action,Adventure,Fantasy",2016,0.7323882327893567,-0.030312611237188536,1.3967623517910674,0.7881905919975075,0.09823169096841443,0.055072659811062526,0.9159334320825904,1,1,0,0,0,0,0,0
39,The Magnificent Seven,"Action,Adventure,Western",2016,-0.3296099496172312,-0.192511540606183,0.4923860809360862,-0.11242908553303904,0.9828924465001496,0.9235016269696846,0.03317281710218842,1,1,0,0,0,0,0,0
41,Sausage Party,"Animation,Adventure,Comedy",2016,0.37838883865382744,0.6060062655180961,0.5306672759552329,-0.1281979706323714,-1.5463257753555228,-0.7299932198989435,-0.6556413770500084,0,1,0,0,1,0,0,0
42,Moonlight,Drama,2016,2.325385506399239,-1.7521166306926645,-0.3517501373815307,-0.0265011983178902,-0.1289297094574005,-1.1335725758698958,0.784606483450038,0,0,0,0,0,1,0,0
44,The Founder,"Biography,Drama,History",2016,0.37838883865382744,0.6808673098422472,-0.7400236899172036,-0.9925369278786769,0.09823169096841443,-0.1611800651396621,0.40106221625165644,0,0,0,0,0,1,0,0
45,Lowriders,Drama,2016,-0.15261025254946656,-1.3653345683512168,-1.1458704549549612,-2.432402948499063,-0.8630596781273681,-0.7299932198989435,-0.6556413770500084,0,0,0,0,0,1,0,0
46,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",2011,-0.8606090408205251,1.6914914082182875,1.4380673331962786,1.1589383609923931,1.1744481464536762,0.055072659811062526,-0.2033896334147279,1,1,0,0,0,0,0,0
47,Miss Sloane,"Drama,Thriller",2016,0.260389040608651,0.4063768139870266,-1.2048161469864473,-1.380115118987167,0.9828924465001496,0.9235016269696846,0.5271708755345708,0,0,0,1,0,1,0,0
49,Star Trek Beyond,"Action,Adventure,Sci-Fi",2016,0.49638863669900385,-0.18003469988549078,0.9848604394018836,0.1609513396996047,0.47738396064428645,0.24239929083129033,0.2766929867519538,1,1,1,0,0,0,0,0
52,Underworld: Blood Wars,"Action,Adventure,Fantasy",2016,-2.158606819317466,-0.7227772712355864,-0.3023504645144138,-0.9253069805134669,-1.4037279199729997,-1.7023857306291776,-1.1818188864718244,1,1,0,0,0,0,0,0
53,Mother's Day,"Comedy,Drama",2016,-2.453606314430407,0.6060062655180961,-0.2627282927539563,-1.319667704431705,0.26347617245303195,1.4558746588380362,-1.3801138817580632,0,0,0,0,1,1,0,0
54,John Wick,"Action,Crime,Thriller",2014,0.49638863669900385,1.8786440190286653,-0.08699193669948241,0.8990210114114664,-0.7347226118427373,-1.1335725758698958,0.40106221625165644,1,0,0,1,0,0,0,1
56,Silence,"Adventure,Drama,History",2016,1.1453875259474744,-1.2904735240270657,-0.9746040157211097,-0.8147863137856854,2.2572527059925855,2.6016809673523387,0.5271708755345708,0,1,0,0,0,1,0,0
57,Don't Breathe,"Crime,Horror,Thriller",2016,0.6733883337667685,-0.6853467490735109,0.45394659530807324,-0.12517261548938297,-1.6188309469519884,-1.1335725758698958,0.40106221625165644,0,0,0,1,0,0,0,1
58,Me Before You,"Drama,Romance",2016,-0.5066096466849959,-0.25489574420964195,0.09672754276326312,-0.18337087558491694,-0.42467972452665154,-1.7023857306291776,0.6550189646006985,0,0,0,0,0,1,1,0
59,Their Finest,"Comedy,Drama,Romance",2016,0.9683878288797096,0.26913156605941596,-1.2266992902300042,-1.949544751273206,0.20886614569456943,0.4076330896196196,0.15406318703546468,0,0,0,0,1,1,1,0
60,Sully,"Biography,Drama",2016,0.8503880308345332,0.8493046595715872,0.7525888335145792,-0.009511150513387471,-1.0605103159446678,2.352418111080087,0.784606483450038,0,0,0,0,0,1,0,0
61,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",2016,-0.9196089398431134,0.5311452211939449,1.8241068845137172,1.4008836704239533,1.8457887311731682,0.5554397592934142,-0.2033896334147279,1,1,1,0,0,0,0,0
63,The Girl on the Train,"Crime,Drama,Mystery",2016,-0.6836093437527605,-0.6479162269114354,0.31642773238614136,-0.2715678724777086,-0.07138098816009314,-0.41695275143682026,-0.4329943647987933,0,0,0,0,0,1,0,1
64,Fifty Shades of Grey,"Drama,Romance,Thriller",2015,-0.801609141797937,-1.440195612675368,1.030995916374154,0.5762037554082886,0.633261409240836,-0.7299932198989435,-2.645549049045241,0,0,0,1,0,1,1,0
65,The Prestige,"Drama,Mystery,Sci-Fi",2006,0.37838883865382744,2.5149628957839494,0.05584652978529576,2.429299478455504,0.8849265830824906,0.9235016269696846,2.176150310020131,0,0,1,0,0,1,0,0
66,Kingsman: The Secret Service,"Action,Adventure,Comedy",2014,-0.09361035352687833,-0.591770443668322,0.7761525808279174,1.3038611768934523,0.835376997764085,-0.1611800651396621,1.0489998104983562,1,1,0,0,1,0,0,0
67,Patriots Day,"Drama,History,Thriller",2016,0.5553885357215921,2.7021155065943274,-0.2738160856965889,-0.949244615055208,1.0313201436413102,0.6891471559868676,0.6550189646006985,0,0,0,1,0,1,0,0
68,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",2015,1.7943864151959448,0.2504163049783782,0.951548879970304,1.8295530476582618,0.37132139026787947,0.6891471559868676,1.5986596219935423,1,1,1,0,0,0,0,0
69,Wakefield,Drama,2016,0.08338934354088633,-0.46700203646140337,-1.9303567102625143,-2.4274398196130282,-0.42467972452665154,-1.1335725758698958,0.784606483450038,0,0,0,0,0,1,0,0
70,Deepwater Horizon,"Action,Drama,Thriller",2016,0.49638863669900385,0.7182978320043227,0.15919315744779294,-0.37695150953017953,-0.3644291465161256,0.6891471559868676,0.40106221625165644,1,0,0,1,0,1,0,0
72,Allied,"Action,Drama,Romance",2016,0.024389444518298106,0.8305893984905495,-0.13265753296398633,-0.48699021545913324,0.5817218597528382,1.5278322700236477,0.2766929867519538,1,0,0,0,0,1,1,0
73,A Monster Calls,"Drama,Fantasy",2016,0.9683878288797096,-0.2923262663717175,-1.181672359713649,-0.9592889994621243,-0.3047390471200417,-2.6747782413594114,0.784606483450038,0,0,0,0,0,1,0,0
74,Collateral Beauty,"Drama,Romance",2016,-2.158606819317466,0.5685757433560205,-0.2903328590603976,-0.8869447282264147,-0.9940160482195343,0.4076330896196196,-0.0859781230478768,0,0,0,0,0,1,1,0
75,Zootopia,"Animation,Adventure,Comedy",2016,1.086387626924886,-0.030312611237188536,1.8667018398427233,0.8007961758588303,-0.3047390471200417,-0.41695275143682026,1.5986596219935423,0,1,0,0,1,0,0,0
76,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",2007,-0.565609545707584,0.4313304954284099,1.7407744328817962,1.4777623876622104,2.568423463136698,0.6891471559868676,0.2766929867519538,1,1,0,0,0,0,0,0
77,The Avengers,"Action,Sci-Fi",2012,0.5553885357215921,0.5311452211939449,2.737875417834208,2.6700192430023475,1.4964976393147607,-0.1611800651396621,1.5986596219935423,1,0,1,0,0,0,0,0
78,Inglourious Basterds,"Adventure,Drama,War",2009,0.5553885357215921,0.2816084067801079,0.7181684185679846,2.5152407587850942,1.9302194152782968,0.9235016269696846,1.8839261064404127,0,1,0,0,0,1,0,0
79,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",2006,-0.38860984863981946,0.7557283541663983,2.1575039453407836,1.6241807745254777,1.8457887311731682,0.6891471559868676,0.5271708755345708,1,1,0,0,0,0,0,0
80,Ghostbusters,"Action,Comedy,Fantasy",2016,0.024389444518298106,-0.31104152745275526,0.776813781952327,0.05681801658840002,0.15378735760971712,0.055072659811062526,-1.6645106513133257,1,0,0,0,1,0,0,0
82,Captain Fantastic,"Comedy,Drama",2016,0.7323882327893567,-0.591770443668322,-1.039227047434798,-0.2479924169306673,0.26347617245303195,-1.1335725758698958,1.3203508566795241,0,0,0,0,1,1,0,0
83,The Wolf of Wall Street,"Biography,Comedy,Crime",2013,0.9093879298571214,-0.21746522204756635,0.6899247473296737,2.336277934341394,2.9730447837200233,2.6016809673523387,1.7404231493253701,0,0,0,0,1,0,0,1
84,Gone Girl,"Crime,Drama,Mystery",2014,1.1453875259474744,-0.11765049628203188,1.0407964010811792,1.8378020601582135,1.7602322714761491,0.6891471559868676,1.5986596219935423,0,0,0,0,0,1,0,1
85,Furious Seven,"Action,Crime,Thriller",2015,0.4373887376764157,0.4562841768697938,1.8999797902696631,0.8184024348003288,1.2214567040527415,0.5554397592934142,0.40106221625165644,1,0,0,1,0,0,0,1
86,Jurassic World,"Action,Adventure,Sci-Fi",2015,-0.034610454504290115,-0.9660756652890776,2.8107784281713464,1.3496477697414024,0.5817218597528382,-0.7299932198989435,0.15406318703546468,1,1,1,0,0,0,0,0
87,Live by Night,"Crime,Drama",2016,-0.6246094447301723,1.1487488368681917,-0.8281673532363049,-1.154463384528956,0.835376997764085,-0.41695275143682026,-0.5451875858160063,0,0,0,0,0,1,0,1
90,The Accountant,"Action,Crime,Drama",2016,-0.5066096466849959,1.4107624920027206,0.42544922212068836,0.1462964601405163,0.7854418086828499,0.055072659811062526,0.6550189646006985,1,0,0,0,0,1,0,1
91,Prisoners,"Crime,Drama,Mystery",2013,0.8503880308345332,-0.2673725849303341,0.15533903196274193,1.2757387220564895,1.9302194152782968,0.5554397592934142,1.5986596219935423,0,0,0,0,0,1,0,1
92,Warcraft,"Action,Adventure,Fantasy",2016,-1.627607728114172,-0.36718731069586863,-0.025448127395677884,0.29207855899012186,0.529764981435487,-0.7299932198989435,0.15406318703546468,1,1,0,0,0,0,0,0
93,The Help,Drama,2011,0.14238924256347454,0.5311452211939449,1.0528536129983201,0.9755685194380322,1.6297198519437748,-0.41695275143682026,1.5986596219935423,0,0,0,0,0,1,0,0
94,War Dogs,"Comedy,Crime,Drama",2016,-0.15261025254946656,-0.9473604042080399,-0.08668746430468521,-0.23692534089579542,0.04219081585673559,0.6891471559868676,0.2766929867519538,0,0,0,0,1,1,0,1
95,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",2015,0.37838883865382744,1.1861793590302674,2.2735290707568274,1.5286197045163257,1.4061209422618741,-0.1611800651396621,0.6550189646006985,1,1,1,0,0,0,0,0
96,The Nice Guys,"Action,Comedy,Crime",2016,0.6143884347441803,-0.5169093993441709,-0.1956695944401983,0.22228713241988607,0.15378735760971712,-0.7299932198989435,0.6550189646006985,1,0,0,0,1,0,0,1
97,Kimi no na wa,"Animation,Drama,Fantasy",2016,1.1453875259474744,-1.8644081971788913,-1.1133637755350037,-1.040953991423578,-0.42467972452665154,0.811212445590572,2.3248715564848093,0,0,0,0,0,1,0,0
98,The Void,"Horror,Mystery,Sci-Fi",2016,0.14238924256347454,-1.714686108530589,-1.753257918676606,-1.6557203460187286,-1.474630734359638,-0.7299932198989435,-1.1818188864718244,0,0,1,0,0,0,0,0
99,Personal Shopper,"Drama,Mystery,Thriller",2016,1.0273877279022978,-0.8662609395235429,-1.4408358203266205,-1.6189608607853079,-0.4855014065750636,1.1242529140526953,-0.6556413770500084,0,0,0,1,0,1,0,0
100,The Departed,"Crime,Drama,Thriller",2006,1.4993869200830037,1.7476371914614008,0.8061094464822349,2.4750636843014306,1.8457887311731682,2.6016809673523387,2.176150310020131,0,0,0,1,0,1,0,1
101,Legend,"Biography,Crime,Drama",2015,-0.270610050594643,-0.7227772712355864,-1.3604276016827057,-0.21814364836473282,0.9828924465001496,0.055072659811062526,0.15406318703546468,0,0,0,0,0,1,0,1
102,Thor,"Action,Adventure,Fantasy",2011,-0.15261025254946656,0.868019920652625,1.1203294907458667,1.6736258454291113,0.09823169096841443,1.1242529140526953,0.15406318703546468,1,1,0,0,0,0,0,0
103,The Martian,"Adventure,Drama,Sci-Fi",2015,1.2043874249700626,1.0926030536250784,1.3760335566705513,1.6349866132043802,1.541213077507476,1.8408727384857708,1.4586355244449267,0,1,1,0,0,1,0,0
105,The Man from U.N.C.L.E.,"Action,Adventure,Comedy",2015,-0.21161015157205476,-1.022221448532191,-0.05066867660924522,0.374190301321922,0.15378735760971712,0.6891471559868676,0.5271708755345708,1,1,0,0,1,0,0,0
106,Hell or High Water,"Crime,Drama,Thriller",2016,1.6763866171507682,0.6808673098422472,-0.37213000090739096,-0.16647136137275412,-0.671503978173847,0.4076330896196196,1.0489998104983562,0,0,0,1,0,1,0,1
107,The Comedian,Comedy,2016,-1.1556085359334662,2.140657674163194,-1.3873164418209938,-2.1117628326149744,0.37132139026787947,1.1242529140526953,-1.5714511579114503,0,0,0,0,1,0,0,0
108,The Legend of Tarzan,"Action,Adventure,Drama",2016,-0.9196089398431134,-1.1719435371804932,0.7639012297606078,-0.15112980550329813,-0.1869992407394412,0.6891471559868676,-0.6556413770500084,1,1,0,0,0,1,0,0
110,Ex Machina,"Drama,Mystery,Sci-Fi",2014,1.086387626924886,-1.11579775393738,-0.40225525638736137,0.9659126778894038,-0.3047390471200417,-1.7023857306291776,1.0489998104983562,0,0,1,0,0,1,0,0
111,The Belko Experiment,"Action,Horror,Thriller",2016,-0.9196089398431134,-0.46076361610105754,-0.8368692881395695,-1.9515569784217874,-1.5463257753555228,-0.1611800651396621,-0.6556413770500084,1,0,0,1,0,0,0,0
112,12 Years a Slave,"Biography,Drama,History",2013,2.148385809331474,0.868019920652625,0.10231535947269221,1.4419156566210372,1.0793850830915885,-0.7299932198989435,1.5986596219935423,0,0,0,0,0,1,0,0
114,300,"Action,Fantasy,War",2006,-0.44760974766240763,0.4749994379508316,1.2843856774727205,1.8398857219818399,0.20886614569456943,0.5554397592934142,1.0489998104983562,1,0,0,0,0,0,0,0
115,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",2011,1.61738671812818,0.40013839362668047,2.013089686009415,1.724528059976912,0.8849265830824906,0.6891471559868676,1.5986596219935423,0,1,0,0,0,1,0,0
116,Office Christmas Party,Comedy,2016,-1.03760873788829,-0.5169093993441709,0.07745617493626085,-1.0999584124702528,-0.4855014065750636,-0.7299932198989435,-1.1818188864718244,0,0,0,0,1,0,0,0
117,The Neon Demon,"Horror,Thriller",2016,-0.5066096466849959,0.2878468271404538,-1.434591831842354,-0.7993127781141076,0.26347617245303195,0.6891471559868676,-0.7643557385007963,0,0,0,1,0,0,0,0
119,10 Cloverfield Lane,"Drama,Horror,Mystery",2016,0.9683878288797096,0.9615962260578139,0.28014024627023243,0.3214304737150817,-0.5469051231300567,-1.1335725758698958,0.40106221625165644,0,0,0,0,0,1,0,0
120,Finding Dory,"Animation,Adventure,Comedy",2016,1.0273877279022978,-1.5150566569995192,2.357624744034257,0.11527155935416132,-0.9940160482195343,-0.1611800651396621,0.6550189646006985,0,1,0,0,1,0,0,0
121,Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family",2016,-0.15261025254946656,1.6727761471372495,0.43536943373458,-0.28077142333032307,0.7351149670600102,1.6615396667171016,-0.2033896334147279,0,1,0,0,0,1,0,0
122,Divergent,"Adventure,Mystery,Sci-Fi",2014,-0.6836093437527605,-0.6666314879924732,0.9331949577486391,1.0461883587430192,1.3144531059293265,-0.1611800651396621,-0.2033896334147279,0,1,1,0,0,0,0,0
123,Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance",2016,-0.5066096466849959,-0.21746522204756635,-0.042191368530818625,-0.7628959545446456,-0.9282037850030305,-0.41695275143682026,-0.9765661720527359,0,1,0,0,1,0,1,0
125,The Dark Knight Rises,"Action,Thriller",2012,1.086387626924886,-0.09269681484064772,2.2391482895879324,2.9619418910205892,2.3757171060630102,0.9235016269696846,2.176150310020131,1,0,0,1,0,0,0,0
126,The Jungle Book,"Adventure,Drama,Family",2016,1.0273877279022978,1.3733319698406452,1.9518598466229693,0.3494687691984399,-0.42467972452665154,0.4076330896196196,0.784606483450038,0,1,0,0,0,1,0,0
127,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",2014,-1.627607728114172,0.6434367876801717,1.459025640154477,0.6258958152091679,2.414724152712697,1.0274651705412963,-1.2818360990065498,1,1,1,0,0,0,0,0
128,Nerve,"Adventure,Crime,Mystery",2016,-0.09361035352687833,-0.6666314879924732,-0.15706552068971857,-0.5727853616960557,-1.0605103159446678,-0.1611800651396621,-0.31906171399836736,0,1,0,0,0,0,0,1
129,Mamma Mia!,"Comedy,Family,Musical",2008,-0.5066096466849959,1.0302188500216185,0.88540890084697,0.09329122207272297,-0.3047390471200417,-1.1335725758698958,-0.5451875858160063,0,0,0,0,1,0,0,0
130,The Revenant,"Adventure,Drama,Thriller",2015,0.9683878288797096,-0.19874996096652858,1.1355570713326535,1.4794787717195408,2.054818270322087,0.5554397592934142,1.4586355244449267,0,1,0,1,0,1,0,0
131,Fences,Drama,2016,1.1453875259474744,-0.0677431333992641,0.11453257562574248,-0.791541892613388,1.3144531059293265,-0.7299932198989435,0.5271708755345708,0,0,0,0,0,1,0,0
132,Into the Woods,"Adventure,Comedy,Drama",2014,0.5553885357215921,0.868019920652625,0.7743142864833183,-0.21093553454595282,0.633261409240836,0.055072659811062526,-0.9765661720527359,0,1,0,0,1,1,0,0
133,The Shallows,"Drama,Horror,Thriller",2016,-0.034610454504290115,-1.0596519706942666,0.08250026843900203,-0.48455155883815126,-1.7663463956880587,0.24239929083129033,-0.5451875858160063,0,0,0,1,0,1,0,0
134,Whiplash,"Drama,Music",2014,1.6763866171507682,0.32527734930252933,-0.7298516802817713,1.415506715020434,-0.3644291465161256,-0.41695275143682026,2.176150310020131,0,0,0,0,0,1,0,0
135,Furious 6,"Action,Crime,Thriller",2013,0.08338934354088633,0.19427052173526485,1.4264977016846407,0.8841593405539759,0.8849265830824906,0.24239929083129033,0.2766929867519538,1,0,0,1,0,0,0,1
136,The Place Beyond the Pines,"Crime,Drama,Thriller",2012,0.49638863669900385,-0.46700203646140337,-0.4951011159828447,0.35916849950773155,1.360450718052454,-0.7299932198989435,0.5271708755345708,0,0,0,1,0,1,0,1
137,No Country for Old Men,"Crime,Drama,Thriller",2007,1.853386314218533,1.7663524525424386,0.3054787836279751,1.8952952916840689,0.47738396064428645,0.6891471559868676,1.5986596219935423,0,0,0,1,0,1,0,1
138,The Great Gatsby,"Drama,Romance",2013,-0.270610050594643,-0.7913998951993918,0.8929505756902736,1.1290275045843279,1.4964976393147607,-0.1611800651396621,0.5271708755345708,0,0,0,0,0,1,1,0
139,Shutter Island,"Mystery,Thriller",2010,0.20138914158606278,-0.34223362925448525,0.774093530360023,2.3174092872978562,1.268123378208011,2.6016809673523387,1.5986596219935423,0,0,0,1,0,0,0,0
141,Star Trek,"Action,Adventure,Sci-Fi",2009,1.322387223015239,0.06326369416800037,1.5165727007583558,1.5546818665202602,0.7351149670600102,-0.1611800651396621,1.4586355244449267,1,1,1,0,0,0,0,0
142,Diary of a Wimpy Kid,"Comedy,Family",2010,-0.21161015157205476,-1.4152419312339843,0.19142386757140023,-1.0396947799462246,-1.1956024511902696,-0.7299932198989435,-0.7643557385007963,0,0,0,0,1,0,0,0
143,The Big Short,"Biography,Comedy,Drama",2015,1.2633873239926507,1.0177420093009273,0.262059109456858,0.5848211307485423,0.8849265830824906,0.24239929083129033,1.1838056186973331,0,0,0,0,1,1,0,0
144,Room,Drama,2015,1.5583868191055918,-1.2405661611442986,-0.6783847716812665,0.48030889934421483,0.26347617245303195,-0.1611800651396621,1.7404231493253701,0,0,0,0,0,1,0,0
145,Django Unchained,"Drama,Western",2012,1.2633873239926507,-0.5668167622269387,1.0101405685901421,2.6587421070973427,2.414724152712697,0.9235016269696846,2.0291684933386653,0,0,0,0,0,1,0,0
146,Ah-ga-ssi,"Drama,Mystery,Romance",2016,1.4403870210604155,-2.0141302858271937,-1.343603604120357,-1.052818429531829,1.541213077507476,-2.6747782413594114,1.5986596219935423,0,0,0,0,0,1,1,0
147,The Edge of Seventeen,"Comedy,Drama",2016,1.0273877279022978,-0.8912146209649265,-0.6916033504018801,-0.8349500631167901,-0.5469051231300567,-1.7023857306291776,0.6550189646006985,0,0,0,0,1,1,0,0
148,Watchmen,"Action,Drama,Mystery",2009,-0.21161015157205476,-0.4919557179027875,0.6146202396998752,1.2089476061059714,2.2969843463320965,0.5554397592934142,0.9159334320825904,1,0,0,0,0,1,0,0
149,Superbad,Comedy,2007,0.9683878288797096,0.4749994379508316,0.7253495625471815,1.3096499358580307,-0.014343817818798938,0.055072659811062526,0.9159334320825904,0,0,0,0,1,0,0,0
150,Inferno,"Action,Adventure,Crime",2016,-1.03760873788829,1.055172531463003,-0.23026360364947368,-0.3094551198394041,0.4245718154928289,1.9488387551091348,-0.7643557385007963,1,1,0,0,0,0,0,1
